198.235.24.18 - - [22/Dec/2024:00:01:05 -0500] "GET / HTTP/1.1" 200 508
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/ui/dealer/loadport-query.jsf HTTP/1.1" 200 25830
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/theme.css.jsf?ln=primefaces-ultima-indigo HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/fa/font-awesome.css.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/components.css.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery-plugins.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/core.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/jquery/jquery.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/css/nanoscroller.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/css/animate.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/css/ripple.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/components.js.jsf?ln=primefaces&v=6.0 HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/css/layout-indigo.css.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/js/nanoscroller.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/js/layout.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/js/ripple.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/js/swipe.js.jsf?ln=ultima-layout HTTP/1.1" 304 -
168.187.173.27 - - [22/Dec/2024:00:28:20 -0500] "GET /elogNew/javax.faces.resource/images/dfyoung-spon1.jpg.jsf?ln=ultima-layout HTTP/1.1" 304 -
